username, created_at, lng, lat, text
aaron_bolshaw, Thu Jan 21 20:29:34 +0000 2021, -121.300731, 38.763160, This is accurate. But how does social media’s presence in the “information marketplace” lend to this behavior? It’s… https://t.co/ZMQJ99CQbn 
chicityderby, Thu Jan 21 20:29:35 +0000 2021, -89.266508, 39.739300, @ChelseaClinton @JoeBiden @WhiteHouse Totally forgot pedophilia runs in your family. 
loreenaguilarx, Thu Jan 21 20:29:35 +0000 2021, -158.029439, 21.316233, @fvckndez Congrats Desi 💖💖 
asvp_desiii, Thu Jan 21 20:29:35 +0000 2021, -88.409391, 33.507615, This picture look so real man 😂💀 
robertjtross, Thu Jan 21 20:29:35 +0000 2021, -77.101999, 38.880845, I realize this means my life has come to tweeting Ads, but seriously, when is this Truly sensation going to stop ge… https://t.co/XF3NcCq2TC 
Val_Kyrie22020, Thu Jan 21 20:29:35 +0000 2021, -75.306770, 39.937821, @BrookChaos You’re welcome @BrookChaos!!!  I’m following you on Twitter now too, to be able to support you there! 
bfresh123, Thu Jan 21 20:29:35 +0000 2021, -73.968542, 40.780709, POV is just really that girl, thanks Ari 
4thQtr_Ninja, Thu Jan 21 20:29:35 +0000 2021, -80.285189, 26.078170, Why y’all talking about Dominicans ? 
fatmami_hoochie, Thu Jan 21 20:29:35 +0000 2021, -83.173867, 32.678207, Can I slut you out https://t.co/87pNgLYvPa 
William95794943, Thu Jan 21 20:29:35 +0000 2021, -106.662024, 35.296183, @funder Good 
nancylees, Thu Jan 21 20:29:35 +0000 2021, -85.500712, 42.913149, @MZHemingway Wonderful hearing the cattle herder moving the disrespectful herd out the door.  Wonder if she’ll star… https://t.co/l4TlGsMTqw 
TDunlop07, Thu Jan 21 20:29:35 +0000 2021, -121.914529, 37.715531, I would flip the F out!!! 
fjtjkc, Thu Jan 21 20:29:35 +0000 2021, -94.378332, 39.088004, Oh FFS Schumer 
